Title,My,Calculated,Performance,Cinematography,Script,Plot,Mood,Source,Title type,Directors,AVG rating,IMDb Rating,Rotten Tom.,Metacritic,Runtime (mins),Year,Genres,# of IMDb votes,IMDb Top 250,1001 Must See…,Desire to see (A-F grading),Female dir.,Bechdel,LGBTQ Russo,Good Blu-ray,Foreign dir.,Netflix/Hulu streaming,LFPL,Wild & Woolly,description,US Release Date (month/day/year),URL,Created,Modified,MIDZ,1001 position,Female
Ocean's Eleven,8,0,,,,,,,Feature Film,Steven Soderbergh,77,7.7,,,116,2001,"crime, thriller",275955,,,,,,,,,,,,,12/5/2001,http://www.imdb.com/title/tt0240772/,Mon Oct 29 11:00:00 2001,Wed Aug 10 16:04:03 2011,1265,,
Ocean's Twelve,7,0,,,,,,,Feature Film,Steven Soderbergh,63,6.3,,,125,2004,"crime, thriller",197450,,,,,,,,,,,,"Green Hills theater with Megs and Halli.  Sometimes you just have to be in the right mood, and I've been wanting to see a more indie film lately, not a bunch of blockbusters.

DATE: 2004-12-18",12/8/2004,http://www.imdb.com/title/tt0349903/,Tue Dec 21 11:00:00 2004,Wed Aug 10 16:04:03 2011,1464,,
October (Ten Days that Shook the World),,0,,,,,,,Feature Film,"G. Aleksandrov, S. M. Eisenstein",82,7.6,88,n/a,142,1928,"drama, history",3605,,Y,,,,,,,,,,,1/20/1928,http://www.imdb.com/title/tt0018217/,,,974,893,
Odd Man Out,,0,,,,,,,Feature Film,Carol Reed,77,7.7,,,116,1947,"crime, drama, film_noir, thriller",4198,,Y,,,,,,,,,,,1/30/1947,http://www.imdb.com/title/tt0039677/,,,826,870,
Of Gods and Men,9,0,,,,,,,Feature Film,Xavier Beauvois,71,7.1,,,122,2010,"drama, history",9310,,Y,,,,,,,,,,,5/18/2010,http://www.imdb.com/title/tt1588337/,,,13,231,
Office Space,9,0,,,,,,,Feature Film,Mike Judge,78,7.8,,,89,1999,"comedy, crime",152838,,,,,,,,,,,,,2/19/1999,http://www.imdb.com/title/tt0151804/,Mon May 27 12:00:00 2002,Wed Aug 10 16:04:03 2011,1325,,
Oklahoma!,,0,,,,,,,Feature Film,Fred Zinnemann,83,7.1,95,n/a,145,1955,"musical, romance, western",6766,,Y,,,,,,,,,,1001 2013,,,10/14/2013,,2833,,
Old Joy,,0,,,,,,,Feature Film,Kelly Reichardt,78.3333333333333,6.6,85,84,76,2006,drama,3323,,,B,Y,3,,,,Ne,Vu,DV,Will Oldham,,,11/2/2013,,2890,,Y
Oldboy,8,0,,,,,,,Feature Film,Chan-wook Park,84,8.4,,,120,2003,"drama, mystery, thriller",209237,Y,Y,C,,1,,,,Ne,,,"Artsy and interesting mystery, but a little dreary.

DATE: 2009-06-19",11/21/2003,http://www.imdb.com/title/tt0364569/,,,69,51,
"Olivier, Olivier",,0,,,,,,,Feature Film,Agnieszka Holland,78,7.3,83,n/a,110,1992,drama,1218,,,,Y,,,,Pol.,No,No,No,,,,10/28/2013,,2885,,
Olympia Part One: Festival of the Nations,,0,,,,,,,Documentary,Leni Riefenstahl,78,7.8,,,121,1938,"documentary, sport",2250,,Y,,Y,,,,,,,,& Olympia Part Two: Festival of Beauty (1938 Documentary),4/20/1938,http://www.imdb.com/title/tt0030522/,,,902,763,
On the Beach,,0,,,,,,,Feature Film,Stanley Kramer,72,7.2,,,134,1959,"drama, sci_fi",7337,,,,,,,,,,,,,12/17/1959,http://www.imdb.com/title/tt0053137/,Sat Sep  2 12:00:00 2000,Wed Aug 10 16:04:02 2011,2086,,
On the Downlow,8,0,,,,,,,Documentary,Abigail Child,61,6.1,,,56,2007,documentary,37,,,,,,3?,,,,,,"Nathan DVD rental from Sewanee

DATE: 2009-03-01",4/26/2007,http://www.imdb.com/title/tt1014770/,Sun Mar  1 11:00:00 2009,Wed Aug 10 16:04:04 2011,1626,,
On the Town,,0,,,,,,,Feature Film,"Stanley Donen, Gene Kelly",75,7.5,,,98,1949,"comedy, musical, romance",9115,,Y,F,,,,,,,,,,12/8/1949,http://www.imdb.com/title/tt0041716/,,,809,941,
On the Waterfront,,0,,,,,,,Feature Film,Elia Kazan,83,8.3,,,108,1954,"crime, drama",65836,,Y,,,,,,,,,,,6/24/1954,http://www.imdb.com/title/tt0047296/,,,749,493,
Once Upon a Time in America,,0,,,,,,,Feature Film,Sergio Leone,84,8.4,,,229,1984,"crime, drama",140467,Y,Y,,,,,,,,,,,2/17/1984,http://www.imdb.com/title/tt0087843/,,,347,280,
Once Upon a Time in Anatolia,8,0,,,,,,,Feature Film,Nuri Bilge Ceylan,84,7.6,94,82,150,2011,"crime, drama",17182,,,,,,,,,Ne,,,,5/21/2011,http://www.imdb.com/title/tt1827487/,Sat Jun  8 16:05:44 2013,Sat Jun  8 16:05:44 2013,2040,,
Once Upon a Time in China,,0,,,,,,,Feature Film,Hark Tsui,73,7.3,,,134,1991,"action, adventure, drama, history",10622,,Y,,,,,,,Ne,,,,8/15/1991,http://www.imdb.com/title/tt0103285/,,,250,178,
Once Upon a Time in Mexico,7,0,,,,,,,Feature Film,Robert Rodriguez,63,6.3,,,102,2003,"action, thriller",101234,,,,,,,,,,,,"W/ Megan and her dad?

DATE: 2003-09-13",8/27/2003,http://www.imdb.com/title/tt0285823/,Fri Sep 12 12:00:00 2003,Wed Aug 10 16:04:03 2011,1382,,
Once Upon a Time in the West,,0,,,,,,,Feature Film,Sergio Leone,88.3333333333333,8.7,98,80,175,1968,"adventure, western",140349,Y,Y,B,,1,,,,Ne,,,,12/21/1968,http://www.imdb.com/title/tt0064116/,,,551,547,
One Day,,0,,,,,,,Feature Film,Lone Scherfig,68,6.8,,,107,2011,"drama, romance",59055,,,,Y,,,,Dan.,,"LFPL St. M, West.",DVD,,40763,http://www.imdb.com/title/tt1563738/,,,1014,,
One Flew Over the Cuckoo's Nest,?,0,,,,,,,Feature Film,Milos Forman,88,8.8,,,133,1975,drama,429996,Y,Y,C,,,,,,,,,,11/19/1975,http://www.imdb.com/title/tt0073486/,,,452,253,
One True Thing,8,0,,,,,,,Feature Film,Carl Franklin,68,6.8,,,127,1998,drama,7750,,,,,,,,,,,,,9/18/1998,http://www.imdb.com/title/tt0120776/,Sat Feb 10 11:00:00 2001,Wed Aug 10 16:04:03 2011,1169,,
One-Eyed Jacks,,0,,,,,,,Feature Film,Marlon Brando,71,7.1,,,141,1961,western,5250,,Y,,,,,,,,,,,3/30/1961,http://www.imdb.com/title/tt0055257/,,,663,705,
Ong-bak,,0,,,,,,,Feature Film,Prachya Pinkaew,71,7.1,,,108,2003,"action, thriller",46856,,,,,,,,,,,,"Apparently an incredible martial arts film.

[url]http://www.themovieblog.com/archives/2004/11/ong_bak_muay_thai_warrior_sequel.html[/url]",1/21/2003,http://www.imdb.com/title/tt0368909/,Tue Nov 30 11:00:00 2004,Wed Aug 10 16:04:03 2011,2451,,
Onibaba,,0,,,,,,,Feature Film,Kaneto Shindo,79,7.9,,,103,1964,"drama, horror",7105,,Y,,,,,,,,,,,11/21/1964,http://www.imdb.com/title/tt0058430/,,,611,593,
Only Angels Have Wings,,0,,,,,,,Feature Film,Howard Hawks,77,7.7,,,121,1939,drama,6362,,Y,,,,,,,,,,,5/12/1939,http://www.imdb.com/title/tt0031762/,,,899,920,
Only God Forgives,8,88,9,10,8,8,9,BD 2013 Starz/Anchor,Feature Film,Nicolas Winding Refn,45.3333333333333,5.9,40,37,90,2013,"crime, drama, thriller",35928,,,recent,,3,,Y,,,,,Beautiful minimalist film.,,,10/28/2013,10/29/2013,2886,,
Only When I Dance,8,82,9,8,8,8,8,Netflix,Documentary,Beadie Finzi,72,6.5,92,59,78,2009,documentary,171,,,recent,Y,,,,Braz.,Ne,,,Inspiring. Two young dancers from Rio struggle to reach their goals.,,,,10/30/2013,1008,,
Only You,8,0,,,,,,,Feature Film,Norman Jewison,62,6.2,,,115,1994,"comedy, romance",11706,,,,,,,,,,,,,9/17/1994,http://www.imdb.com/title/tt0110737/,Mon Jan 27 11:00:00 2003,Wed Aug 10 16:04:03 2011,1358,,
Open Range,8,0,,,,,,,Feature Film,Kevin Costner,74,7.4,,,139,2003,"action, romance, western",43052,,,,,,,,,,,,"Rented from Hollywood.  Got to watch parts of this DVD with Siclari family, half the time playing computer games with Noah.

DATE: 2004-11-26",8/11/2003,http://www.imdb.com/title/tt0316356/,Tue Jul 15 12:00:00 2003,Wed Aug 10 16:04:03 2011,1380,,
Open Water,,0,,,,,,,Feature Film,Chris Kentis,58,5.8,,,79,2003,"biography, drama, thriller",35046,,,,,,,,,,,,,10/26/2003,http://www.imdb.com/title/tt0374102/,Thu Jun  3 12:00:00 2004,Wed Aug 10 16:04:03 2011,2426,,
Open Your Eyes,,0,,,,,,,Feature Film,Alejandro AmenÃ¡bar,78,7.8,,,117,1997,"drama, mystery, romance, sci_fi",39384,,Y,,,,,,,,,,,12/19/1997,http://www.imdb.com/title/tt0125659/,,,173,90,
Ordet,,0,,,,,,DV 2001 Criterion set,Feature Film,Carl Theodor Dreyer,89.5,7.9,100,n/a,126,1955,drama,7040,,Y,B,,,,,Danish,H+ DVD,,DV Criterion,,1/10/1955,http://www.imdb.com/title/tt0048452/,11/12/2013,,736,557,
Ordinary People,,0,,,,,,,Feature Film,Robert Redford,84.6666666666667,7.8,91,85,124,1980,drama,25075,,Y,B,,,,n/a,,Ne,LFPL Cres/High/Iro,DV,,9/19/1980,http://www.imdb.com/title/tt0081283/,,,397,330,
Orphan,7,0,,,,,,,Feature Film,Jaume Collet-Serra,69,6.9,,,123,2009,"mystery, thriller",91835,,,,,,,,,,,,"Unexpected ending, but otherwise pretty dull.

DATE: 2010-02-06",7/21/2009,http://www.imdb.com/title/tt1148204/,Sat Feb  6 11:00:00 2010,Wed Aug 10 16:04:04 2011,1749,,
Orphans of the Storm,,0,,,,,,,Feature Film,D.W. Griffith,77,7.7,,,150,1921,drama,2837,,Y,,,,,,,,,,,12/28/1921,http://www.imdb.com/title/tt0012532/,,,999,813,
Orpheus,,0,,,,,,,Feature Film,Jean Cocteau,79,7.9,,,95,1950,"fantasy, drama, romance",5147,,Y,,,,,,,,,,,3/1/1950,http://www.imdb.com/title/tt0041719/,,,799,874,
Osama,9,0,,,,,,,Feature Film,Siddiq Barmak,72,7.2,,,83,2003,drama,6559,,Y,C,,,,,,,,,"Rented from Hollywood video. Director special afterwards very encouraging after a tragic movie ending.

DATE: 2005-05-20. 1001 2013.",5/20/2003,http://www.imdb.com/title/tt0368913/,Sun Dec 21 11:00:00 2003,Wed Aug 10 16:04:03 2011,1406,,
Ossessione,,0,,,,,,,Feature Film,Luchino Visconti,77,7.7,,,140,1943,"crime, drama, romance",3475,,Y,,,,,,,,,,,5/16/1943,http://www.imdb.com/title/tt0035160/,,,858,291,
Our Hospitality,,0,,,,,,,Feature Film,"Jack Blystone, Buster Keaton",89.5,7.9,100,n/a,65,1923,"comedy, family",5104,,Y,B,,n/a,,,,Ne,,,,11/19/1923,http://www.imdb.com/title/tt0014341/,,,991,817,
Our Idiot Brother,,0,,,,,,,Feature Film,Jesse Peretz,64,6.4,,,90,2011,"comedy, drama",57059,,,,,,,,,,,,,1/22/2011,http://www.imdb.com/title/tt1637706/,Thu Jul 21 12:00:00 2011,Wed Aug 10 16:04:04 2011,2700,,
Our Man in Havana,,0,,,,,,,Feature Film,Carol Reed,78,7.1,85,n/a,111,1959,"drama, thriller, comedy",2670,,,,,,,,,,,,Ernie Kovacs,,,11/3/2013,,2896,,
Out of Africa,,0,,,,,,,Feature Film,Sydney Pollack,70,7,,,161,1985,"biography, drama, romance",34066,,Y,,,,,,,,,,,12/10/1985,http://www.imdb.com/title/tt0089755/,,,344,479,
Out of the Past,,0,,,,,,,Feature Film,Jacques Tourneur,81,8.1,,,97,1947,"drama, film_noir, thriller",15892,,Y,,,,,,,,,,,11/13/1947,http://www.imdb.com/title/tt0039689/,,,822,791,
Out of Time,,0,,,,,,,Feature Film,Carl Franklin,64,6.4,,,105,2003,"crime, drama, thriller",35526,,,,,,,,,,,,,9/7/2003,http://www.imdb.com/title/tt0313443/,Mon Jun 30 12:00:00 2003,Wed Aug 10 16:04:03 2011,2355,,
Outrage,9,0,,,,,,,Documentary,Kirby Dick,74,7.4,,,90,2009,documentary,1149,,,,,,,,,,,,,4/24/2009,http://www.imdb.com/title/tt1049400/,Fri May  8 12:00:00 2009,Wed Aug 10 16:04:03 2011,2522,,
Outside Satan,8,0,,,,,,,Feature Film,Bruno Dumont,62,6.2,,,110,2011,drama,931,,,,,,,,,,,,,5/16/2011,http://www.imdb.com/title/tt1666168/,Thu Feb 21 16:04:36 2013,Thu Feb 21 16:04:36 2013,1984,,
Over the Top,6,0,,,,,,,Feature Film,Menahem Golan,51,5.1,,,93,1987,"action, drama, family, sport",25170,,,,,,,,,,,,,2/12/1987,http://www.imdb.com/title/tt0093692/,Mon Feb  4 11:00:00 2002,Wed Aug 10 16:04:03 2011,1290,,
Owning Mahowny,,0,,,,,,,Feature Film,Richard Kwietniowski,70,7,,,104,2003,"crime, thriller, drama",7961,,,,,,,,,,,,,1/23/2003,http://www.imdb.com/title/tt0285861/,Wed Jul  2 12:00:00 2003,Wed Aug 10 16:04:03 2011,2357,,
Oz the Great and Powerful,8,0,,,,,,,Feature Film,Sam Raimi,65,6.5,,,130,2013,"adventure, family, fantasy",111807,,,,,,,,,,,,,2/14/2013,http://www.imdb.com/title/tt1623205/,Sun Mar 10 12:46:50 2013,Sun Mar 10 12:46:50 2013,1990,,
P.O.V.: Off and Running,,0,,,,,,,TV Episode,Nicole Opper,0,,,,76,2010,documentary,0,,,B,Y,,,,,,,,http://www.pbs.org/pov/offandrunning/index.php,9/7/2010,http://www.imdb.com/title/tt1715602/,Fri Jul 22 12:00:00 2011,Wed Aug 10 16:04:04 2011,2701,,
Paisan,,0,,,,,,,Feature Film,Roberto Rossellini,77,7.7,,,125,1946,"war, drama",3010,,Y,,,,,,,,,,,9/18/1946,http://www.imdb.com/title/tt0038823/,,,837,932,
Pale Flower,,,,,,,,BD 2011 Criterion,Feature Film,Masahiro Shinoda,81.5,7.7,86,n/a,96,1964,"crime, thriller",1120,,,B,,,,Y,,H+ DVD,LFPL Westp.,No,,,,10/28/2013,,2883,,
Palindromes,,0,,,,,,,Feature Film,Todd Solondz,67,6.7,,,100,2004,"comedy, drama",9185,,,,,,,,,,,,,9/3/2004,http://www.imdb.com/title/tt0362004/,Tue Mar 15 11:00:00 2005,Wed Aug 10 16:04:03 2011,2458,,
Pandora and the Flying Dutchman,,0,,,,,,,Feature Film,Albert Lewin,77.5,6.9,86,n/a,122,1951,"drama, fantasy, mystery, romance",1456,,Y,F,,,,,,,,,,1951-02,http://www.imdb.com/title/tt0043899/,,,793,982,
Pandora's Box,,0,,,,,,,Feature Film,Georg Wilhelm Pabst,78,7.8,,,109,1929,"crime, drama, romance",5471,,Y,B,,3,,,,H+,,,,1/30/1929,http://www.imdb.com/title/tt0018737/,,,969,823,
Pang shen feng,,0,,,,,,,Feature Film,Chih Hui Chang,66,6.6,,,85,1976,"animation, action, comedy, fantasy",38,,,,,,,,,,,,,1976,http://www.imdb.com/title/tt0201183/,Sun Oct 21 12:00:00 2001,Wed Aug 10 16:04:03 2011,2178,,
Panic Room,,0,,,,,,,Feature Film,David Fincher,68,6.8,,,112,2002,"crime, thriller",149445,,,,,,,,,,,,,3/29/2002,http://www.imdb.com/title/tt0258000/,Fri Apr 12 15:28:17 2013,Fri Apr 12 15:28:17 2013,2002,,
Pan's Labyrinth,?,0,,,,,,,Feature Film,Guillermo del Toro,83,8.3,,,118,2006,"drama, fantasy, war",301436,,Y,,,3,,,,,,,,5/27/2006,http://www.imdb.com/title/tt0457430/,,,139,54,
Papillon,?,0,,,,,,,Feature Film,Franklin J. Schaffner,80,8,,,151,1973,"biography, crime, drama",59300,,Y,,,,,,,,,,,12/16/1973,http://www.imdb.com/title/tt0070511/,,,478,308,
Paradise Now,,0,,,,,,,Feature Film,Hany Abu-Assad,74,7.4,,,90,2005,"crime, drama, thriller, war",15951,,,,,,,,,,,,,2/14/2005,http://www.imdb.com/title/tt0445620/,Mon Sep 26 12:00:00 2005,Wed Aug 10 16:04:03 2011,2474,,
Paranormal Activity,,0,,,,,,,Feature Film,Oren Peli,64,6.4,,,86,2007,"horror, mystery",130491,,Y,,,,,,,,,,,10/14/2007,http://www.imdb.com/title/tt1179904/,,,137,220,
Paris Is Burning,,0,,,,,,,Documentary,Jennie Livingston,87.5,7.5,100,n/a,71,1990,documentary,1919,,,B,Y,,3,,,,,,,9/13/1990,http://www.imdb.com/title/tt0100332/,Thu May  9 13:23:42 2013,Thu May  9 13:23:42 2013,2777,,
"Paris, Texas",,0,,,,,,,Feature Film,Wim Wenders,80,8,,,147,1984,drama,30487,,Y,,,,,,,,,,,5/19/1984,http://www.imdb.com/title/tt0087884/,,,349,338,
Parks and Recreation,9,0,,,,,,,TV Series,,84,8.4,,,21,2009,comedy,47827,,,,,,,,,,,,,4/9/2009,http://www.imdb.com/title/tt1266020/,Sun Apr 24 12:00:00 2011,Wed Aug 10 16:04:04 2011,1866,,
Partner,,0,,,,,,,Feature Film,Bernardo Bertolucci,62,6.2,,,105,1968,drama,397,,,,,,,,,,,,,9/23/1968,http://www.imdb.com/title/tt0063414/,Wed Mar 28 11:00:00 2001,Wed Aug 10 16:04:02 2011,2120,,
Passenger,,0,,,,,,,Feature Film,"Andrzej Munk, Witold Lesiewicz",76,7.6,,,62,1963,"drama, history, war",681,,Y,,,,,,,,,,,9/20/1963,http://www.imdb.com/title/tt0054159/,,,627,649,
Pat Garrett & Billy the Kid,,0,,,,,,,Feature Film,Sam Peckinpah,73,7.3,,,122,1973,"drama, history, western",9793,,Y,,,,,,,,,,,5/23/1973,http://www.imdb.com/title/tt0070518/,,,490,436,
Patch Adams,9,0,,,,,,,Feature Film,Tom Shadyac,63,6.3,,,115,1998,"biography, comedy, drama",55198,,,,,,,,,,,,,10/21/1998,http://www.imdb.com/title/tt0129290/,Tue Oct  3 12:00:00 2000,Wed Aug 10 16:04:02 2011,1145,,
Pather Panchali,,0,,,,,,,Feature Film,Satyajit Ray,88.5,8,97,,119,1955,drama,8751,,Y,,,,,,India,,,,Apu I,8/26/1955,http://www.imdb.com/title/tt0048473/,,,731,499,
Pathfinder,7,0,,,,,,,Feature Film,Marcus Nispel,53,5.3,,,99,2007,"action, adventure, drama, history, thriller, war",30867,,,,,,,,,,,,"Friday night with Kat - really late show! Hollywood 27.

DATE: 2007-04-20",1/11/2007,http://www.imdb.com/title/tt0446013/,Sun Apr 22 12:00:00 2007,Wed Aug 10 16:04:04 2011,1569,,
Paths of Glory,,0,,,,,,,Feature Film,Stanley Kubrick,85,8.5,,,88,1957,"drama, war",75425,Y,Y,,,,,,,,,,,9/18/1957,http://www.imdb.com/title/tt0050825/,,,710,511,
Patton,,0,,,,,,,Feature Film,Franklin J. Schaffner,80,8,,,172,1970,"biography, drama, history, war",58343,,Y,,,,,,,,,,,2/4/1970,http://www.imdb.com/title/tt0066206/,,,528,612,
Paul,8,0,,,,,,,Feature Film,Greg Mottola,70,7,,,104,2011,"adventure, comedy, sci_fi",134703,,,,,3,,,,,,,,2/14/2011,http://www.imdb.com/title/tt1092026/,Tue Sep  6 05:52:26 2011,Tue Sep  6 05:52:26 2011,1891,,
Pay It Forward,8,0,,,,,,,Feature Film,Mimi Leder,69,6.9,,,123,2000,drama,74883,,,,Y,,,,,,,,,10/12/2000,http://www.imdb.com/title/tt0223897/,Mon Feb 26 11:00:00 2001,Wed Aug 10 16:04:03 2011,1176,,
Paycheck,,0,,,,,,,Feature Film,John Woo,61,6.1,,,119,2003,"sci_fi, thriller, action, mystery",72907,,,,,,,,,,,,,12/25/2003,http://www.imdb.com/title/tt0338337/,Tue Aug 19 12:00:00 2003,Wed Aug 10 16:04:03 2011,2364,,
Pearl Harbor,8,0,,,,,,,Feature Film,Michael Bay,58,5.8,,,183,2001,"action, drama, romance, war",182220,,,,,,,,,,,,,5/21/2001,http://www.imdb.com/title/tt0213149/,Tue Apr 24 12:00:00 2001,Wed Aug 10 16:04:03 2011,1197,,
Pearl Jam Twenty,9,0,,,,,,,Documentary,Cameron Crowe,78,7.8,,,109,2011,"documentary, history, music",4866,,,C,,,,,,,,,,9/10/2011,http://www.imdb.com/title/tt1417592/,Sun Sep 25 08:52:46 2011,10/1/2011,2715,,
Pearl Jam: Immagine in Cornice - Live in Italy 2006,,0,,,,,,,Documentary,Danny Clinch,65,6.5,,,,2007,"documentary, music",208,,,,,,,,,,,,,9/25/2007,http://www.imdb.com/title/tt1169158/,Wed Mar 13 08:24:45 2013,Wed Mar 13 08:24:45 2013,2764,,
Peeping Tom,,0,,,,,,,Feature Film,Michael Powell,77,7.7,,,101,1960,"horror, thriller",15507,,Y,,,,,,,,,,,4/7/1960,http://www.imdb.com/title/tt0054167/,,,673,575,
Peking Opera Blues,,0,,,,,,,Feature Film,Hark Tsui,73,7.3,,,104,1986,"comedy, action",1319,,Y,,,,,,,,,,,9/6/1986,http://www.imdb.com/title/tt0090952/,,,315,153,
Pelikaanimies,,0,,,,,,,Feature Film,Liisa Helminen,61,6.1,,,90,2004,"adventure, family, fantasy",390,,,,Y,,,,Fin.,,,,,38338,http://www.imdb.com/title/tt0372461/,,,1092,,
Pépé le Moko,,0,,,,,,DV 2003 Criterion,Feature Film,Julien Duvivier,91.6666666666667,7.7,100,98,94,1937,"crime, drama, romance",3494,,Y,C,,,,,,H+,LFPL Sw/St.M,DV Criterion,,1/28/1937,http://www.imdb.com/title/tt0029453/,,,913,916,
Performance,,0,,,,,,,Feature Film,"Donald Cammell, Nicolas Roeg",69,6.9,,,105,1970,"crime, drama, music",4754,,Y,,,,,,,,,,,8/3/1970,http://www.imdb.com/title/tt0066214/,,,535,732,
Perfume: The Story of a Murderer,,0,,,,,,,Feature Film,Tom Tykwer,75,7.5,,,147,2006,"crime, drama, fantasy",138304,,,,,,,,,,,,,9/7/2006,http://www.imdb.com/title/tt0396171/,Sun Dec 20 11:00:00 2009,Wed Aug 10 16:04:04 2011,2572,,
Persepolis,8,0,,,,,,,Feature Film,Marjane Satrapi and Vincent Paronnaud,88.3333333333333,7.9,96,90,96,2007,"animation, biography, drama, war",50189,,,,Y,3,,,Iran Fr.,,"LFPL High, St. Mat…",BD,"First movie date with Em after meeting on Monday.

DATE: 2008-02-14",,,,,1102,,
Persona,8,0,,,,,,,Feature Film,Ingmar Bergman,86.5,8.1,92,,85,1966,"drama, mystery, thriller",34751,,Y,,,,,,,H+,,DV,,10/18/1966,http://www.imdb.com/title/tt0060827/,,,91,544,
Peter & the Wolf,8,0,,,,,,,Short Film,Suzie Templeton,75,7.5,,,32,2006,"animation, family, music",2614,,,,Y,,,,,,,,,9/23/2006,http://www.imdb.com/title/tt0863136/,Sat Jan  1 11:00:00 2011,Wed Aug 10 16:04:04 2011,1822,,
Peter Ibbetson,,0,,,,,,,Feature Film,Henry Hathaway,68,7.1,65,,88,1935,"drama, fantasy, romance",931,,Y,,,,,,,,,,1001 2013,,,10/14/2013,,2828,,
Phil Spector,8,78,8,8,7,8,8,Netflix,TV Movie,David Mamet,56.6666666666667,6.3,47,60,92,2013,"biography, drama",2703,,,recent,,,,,,,,,,,,12/3/2013,11/30/2013,2942,,
Philadelphia,?,0,,,,,,,Feature Film,Jonathan Demme,76,7.6,,,125,1993,drama,126727,,Y,,,,,,,,,,,12/23/1993,http://www.imdb.com/title/tt0107818/,,,224,126,
Phone Booth,6,0,,,,,,,Feature Film,Joel Schumacher,71,7.1,,,81,2002,"mystery, thriller",149417,,,,,,,,,,,,"FX TV showing. Pretty absurd film - makes me wonder if people really do get that crazy!

DATE: 2005-09-20",9/10/2002,http://www.imdb.com/title/tt0183649/,Wed Sep 21 12:00:00 2005,Wed Aug 10 16:04:03 2011,1499,,
Pi,9,0,,,,,,,Feature Film,Darren Aronofsky,75,7.5,,,84,1998,"drama, sci_fi, thriller",103245,,Y,,,,,,,,,,,1998-01,http://www.imdb.com/title/tt0138704/,,,30,143,
Picasso Baby: A Performance Art Film,9,0,,,,,,,Documentary,Mark Romanek,70,7,,,11,2013,"documentary, music",32,,,,,,,,,,,,,8/2/2013,http://www.imdb.com/title/tt3087886/,Wed Aug  7 20:51:37 2013,Wed Aug  7 20:51:37 2013,2063,,
Pickpocket,,0,,,,,,,Feature Film,Robert Bresson,78,7.8,,,75,1959,"crime, drama",8568,,Y,,,,,,,,,,,12/16/1959,http://www.imdb.com/title/tt0053168/,,,686,570,
Pickup on South Street,,0,,,,,,,Feature Film,Samuel Fuller,78,7.8,,,80,1953,"crime, film_noir, thriller",6550,,Y,,,,,,,,,,,5/29/1953,http://www.imdb.com/title/tt0046187/,,,769,885,
Picnic at Hanging Rock,,0,,,,,,,Feature Film,Peter Weir,75,7.5,,,115,1975,"drama, horror, mystery",17916,,Y,,,,,,,,,,,8/8/1975,http://www.imdb.com/title/tt0073540/,,,460,378,
Pieces of April,8,0,,,,,,,Feature Film,Peter Hedges,70,7,,,80,2003,"comedy, drama",16274,,,,,,,,,,,,"Hollywood Video rental.  Recommended by Victor Sung. Interesting movie....

DATE: 2004-12-12",1/19/2003,http://www.imdb.com/title/tt0311648/,Tue Dec 14 11:00:00 2004,Wed Aug 10 16:04:03 2011,1461,,
Pierrot le Fou,,0,,,,,,,Feature Film,Jean-Luc Godard,76,7.6,,,110,1965,"comedy, crime, drama, musical, romance",12060,,Y,,,,,,,,,,,8/29/1965,http://www.imdb.com/title/tt0059592/,,,602,660,
Pingu-Pongu,,0,,,,,,,Feature Film,Fumihiko Sori,70,7,,,114,2002,"comedy, drama, sport",2475,,,,,,,,,,,,,7/20/2002,http://www.imdb.com/title/tt0328258/,Wed Nov 17 11:00:00 2004,Wed Aug 10 16:04:03 2011,2450,,
Pink Flamingos,,0,,,,,,,Feature Film,John Waters,58,5.8,,,93,1972,"comedy, crime, horror",12199,,Y,,,,,,,,,,,3/17/1972,http://www.imdb.com/title/tt0069089/,,,504,431,
Pinocchio,?,0,,,,,,,Feature Film,"Norman Ferguson, T. Hee",76,7.6,,,88,1940,"animation, adventure, drama, family, fantasy, music",49741,,Y,,,,,,,,,,,2/7/1940,http://www.imdb.com/title/tt0032910/,,,886,922,
Pinocchio,,0,,,,,,,Feature Film,Roberto Benigni,38,3.8,,,108,2002,"comedy, family, fantasy",5066,,,,,,,,,,,,,10/11/2002,http://www.imdb.com/title/tt0255477/,Mon Oct  7 12:00:00 2002,Wed Aug 10 16:04:03 2011,2268,,
Pirate Radio,,0,,,,,,,Feature Film,Richard Curtis,73,7.3,,,135,2009,"comedy, drama, music",68741,,,,,,,,,,,,,4/1/2009,http://www.imdb.com/title/tt1131729/,Thu Oct 22 12:00:00 2009,Wed Aug 10 16:04:03 2011,2548,,
Pirates of the Caribbean: Dead Man's Chest,7,0,,,,,,,Feature Film,Gore Verbinski,72,7.2,,,151,2006,"action, adventure, fantasy",347274,,,,,,,,,,,,"Involved - a little too complicated for me, somehow.

DATE: 2006-07-08",6/24/2006,http://www.imdb.com/title/tt0383574/,Sat Jul  8 12:00:00 2006,Wed Aug 10 16:04:03 2011,1535,,
Pirates of the Caribbean: The Curse of the Black Pearl,9,0,,,,,,,Feature Film,Gore Verbinski,80,8,,,143,2003,"action, adventure, fantasy",519353,,,,,2,,,,,,,,6/28/2003,http://www.imdb.com/title/tt0325980/,Mon Jun  9 12:00:00 2003,Wed Aug 10 16:04:03 2011,1374,,
"Planes, Trains & Automobiles",9,0,,,,,,,Feature Film,John Hughes,75,7.5,,,93,1987,"comedy, drama",63618,,,,,,,,,,,,,11/25/1987,http://www.imdb.com/title/tt0093748/,Wed Feb 28 11:00:00 2001,Wed Aug 10 16:04:03 2011,1177,,
